loss,created_at,avg_val_loss,learning_rate,epoch
"tensor(4.8468, grad_fn=<AddBackward0>)",2023-03-26 21:19:26.809461,,,
"tensor(4.5225, grad_fn=<AddBackward0>)",2023-03-26 21:19:27.879793,,,
"tensor(4.4577, grad_fn=<AddBackward0>)",2023-03-26 21:19:28.913812,,,
"tensor(4.8746, grad_fn=<AddBackward0>)",2023-03-26 21:19:29.937699,,,
"tensor(4.9387, grad_fn=<AddBackward0>)",2023-03-26 21:19:30.920376,,,
"tensor(4.4895, grad_fn=<AddBackward0>)",2023-03-26 21:19:31.822736,,,
"tensor(4.6400, grad_fn=<AddBackward0>)",2023-03-26 21:19:32.800692,,,
"tensor(4.4568, grad_fn=<AddBackward0>)",2023-03-26 21:19:33.660025,,,
"tensor(4.5700, grad_fn=<AddBackward0>)",2023-03-26 21:19:34.597257,,,
"tensor(4.4707, grad_fn=<AddBackward0>)",2023-03-26 21:19:35.622199,,,
"tensor(4.5300, grad_fn=<AddBackward0>)",2023-03-26 21:19:36.538133,,,
"tensor(4.9012, grad_fn=<AddBackward0>)",2023-03-26 21:19:37.575186,,,
"tensor(5.0406, grad_fn=<AddBackward0>)",2023-03-26 21:19:38.646171,,,
,2023-03-26 21:19:39.729855,4.672221183776856,0.0005,0.0
"tensor(4.5558, grad_fn=<AddBackward0>)",2023-03-26 21:19:39.989682,,,
"tensor(4.4949, grad_fn=<AddBackward0>)",2023-03-26 21:19:41.056533,,,
"tensor(4.4476, grad_fn=<AddBackward0>)",2023-03-26 21:19:42.120486,,,
"tensor(4.5529, grad_fn=<AddBackward0>)",2023-03-26 21:19:43.175346,,,
"tensor(4.4039, grad_fn=<AddBackward0>)",2023-03-26 21:19:44.224719,,,
"tensor(4.4698, grad_fn=<AddBackward0>)",2023-03-26 21:19:45.373193,,,
"tensor(4.9617, grad_fn=<AddBackward0>)",2023-03-26 21:19:46.332933,,,
"tensor(4.8820, grad_fn=<AddBackward0>)",2023-03-26 21:19:47.269101,,,
"tensor(4.4716, grad_fn=<AddBackward0>)",2023-03-26 21:19:48.282872,,,
"tensor(5.0417, grad_fn=<AddBackward0>)",2023-03-26 21:19:49.343027,,,
"tensor(5.1461, grad_fn=<AddBackward0>)",2023-03-26 21:19:50.279924,,,
"tensor(4.6717, grad_fn=<AddBackward0>)",2023-03-26 21:19:51.220666,,,
"tensor(4.6389, grad_fn=<AddBackward0>)",2023-03-26 21:19:52.350811,,,
,2023-03-26 21:19:53.855267,4.672200202941895,0.0005,1.0
"tensor(4.9277, grad_fn=<AddBackward0>)",2023-03-26 21:19:54.100434,,,
"tensor(4.9602, grad_fn=<AddBackward0>)",2023-03-26 21:19:55.127136,,,
"tensor(4.6401, grad_fn=<AddBackward0>)",2023-03-26 21:19:56.301999,,,
"tensor(4.3707, grad_fn=<AddBackward0>)",2023-03-26 21:19:57.205962,,,
"tensor(4.4851, grad_fn=<AddBackward0>)",2023-03-26 21:19:58.125222,,,
"tensor(4.4685, grad_fn=<AddBackward0>)",2023-03-26 21:19:59.271957,,,
"tensor(4.7434, grad_fn=<AddBackward0>)",2023-03-26 21:20:00.136877,,,
"tensor(4.9027, grad_fn=<AddBackward0>)",2023-03-26 21:20:01.031298,,,
"tensor(4.8746, grad_fn=<AddBackward0>)",2023-03-26 21:20:02.121891,,,
"tensor(4.4613, grad_fn=<AddBackward0>)",2023-03-26 21:20:03.194571,,,
"tensor(4.5168, grad_fn=<AddBackward0>)",2023-03-26 21:20:04.067832,,,
"tensor(4.6220, grad_fn=<AddBackward0>)",2023-03-26 21:20:04.930624,,,
"tensor(4.7643, grad_fn=<AddBackward0>)",2023-03-26 21:20:05.861161,,,
,2023-03-26 21:20:07.272471,4.672111988067627,0.0005,2.0
"tensor(4.6812, grad_fn=<AddBackward0>)",2023-03-26 21:20:07.514894,,,
"tensor(4.5560, grad_fn=<AddBackward0>)",2023-03-26 21:20:08.437706,,,
"tensor(4.7432, grad_fn=<AddBackward0>)",2023-03-26 21:20:09.406898,,,
"tensor(4.5764, grad_fn=<AddBackward0>)",2023-03-26 21:20:10.408470,,,
"tensor(4.9722, grad_fn=<AddBackward0>)",2023-03-26 21:20:11.477223,,,
"tensor(4.8344, grad_fn=<AddBackward0>)",2023-03-26 21:20:12.406912,,,
"tensor(4.5268, grad_fn=<AddBackward0>)",2023-03-26 21:20:13.413711,,,
"tensor(4.4932, grad_fn=<AddBackward0>)",2023-03-26 21:20:14.446224,,,
"tensor(4.9047, grad_fn=<AddBackward0>)",2023-03-26 21:20:15.430383,,,
"tensor(4.5177, grad_fn=<AddBackward0>)",2023-03-26 21:20:16.344743,,,
"tensor(4.3602, grad_fn=<AddBackward0>)",2023-03-26 21:20:17.243541,,,
"tensor(4.4864, grad_fn=<AddBackward0>)",2023-03-26 21:20:18.377412,,,
"tensor(5.0864, grad_fn=<AddBackward0>)",2023-03-26 21:20:19.517509,,,
,2023-03-26 21:20:20.697389,4.672213554382324,0.0005,3.0
"tensor(4.3441, grad_fn=<AddBackward0>)",2023-03-26 21:20:20.923497,,,
"tensor(4.3942, grad_fn=<AddBackward0>)",2023-03-26 21:20:22.065606,,,
"tensor(4.5026, grad_fn=<AddBackward0>)",2023-03-26 21:20:23.004476,,,
"tensor(4.4936, grad_fn=<AddBackward0>)",2023-03-26 21:20:24.093239,,,
"tensor(4.4534, grad_fn=<AddBackward0>)",2023-03-26 21:20:25.053774,,,
"tensor(4.6112, grad_fn=<AddBackward0>)",2023-03-26 21:20:26.020048,,,
"tensor(4.5319, grad_fn=<AddBackward0>)",2023-03-26 21:20:27.107729,,,
"tensor(4.3943, grad_fn=<AddBackward0>)",2023-03-26 21:20:28.213610,,,
"tensor(4.9962, grad_fn=<AddBackward0>)",2023-03-26 21:20:29.315919,,,
"tensor(5.0960, grad_fn=<AddBackward0>)",2023-03-26 21:20:30.376499,,,
"tensor(4.7394, grad_fn=<AddBackward0>)",2023-03-26 21:20:31.462798,,,
"tensor(5.4923, grad_fn=<AddBackward0>)",2023-03-26 21:20:32.424502,,,
"tensor(4.6927, grad_fn=<AddBackward0>)",2023-03-26 21:20:33.470114,,,
,2023-03-26 21:20:34.958371,4.672469139099121,0.0005,4.0
"tensor(5.3724, grad_fn=<AddBackward0>)",2023-03-26 21:20:35.198497,,,
