loss,created_at,avg_val_loss,learning_rate,epoch
"tensor(2.3483, grad_fn=<AddBackward0>)",2023-04-14 09:31:33.016791,,,
"tensor(3.4353, grad_fn=<AddBackward0>)",2023-04-14 09:31:34.021616,,,
"tensor(3.5596, grad_fn=<AddBackward0>)",2023-04-14 09:31:34.916086,,,
"tensor(2.5152, grad_fn=<AddBackward0>)",2023-04-14 09:31:35.958762,,,
"tensor(2.6728, grad_fn=<AddBackward0>)",2023-04-14 09:31:37.001634,,,
"tensor(2.2286, grad_fn=<AddBackward0>)",2023-04-14 09:31:37.879023,,,
"tensor(2.3278, grad_fn=<AddBackward0>)",2023-04-14 09:31:38.926163,,,
"tensor(2.2882, grad_fn=<AddBackward0>)",2023-04-14 09:31:39.807596,,,
"tensor(2.9625, grad_fn=<AddBackward0>)",2023-04-14 09:31:40.723745,,,
"tensor(3.3283, grad_fn=<AddBackward0>)",2023-04-14 09:31:41.649635,,,
"tensor(3.1784, grad_fn=<AddBackward0>)",2023-04-14 09:31:42.490253,,,
"tensor(3.3016, grad_fn=<AddBackward0>)",2023-04-14 09:31:43.348098,,,
"tensor(2.6780, grad_fn=<AddBackward0>)",2023-04-14 09:31:44.439543,,,
,2023-04-14 09:31:45.877463,2.8326570987701416,5e-06,0.0
"tensor(3.3487, grad_fn=<AddBackward0>)",2023-04-14 09:31:46.107102,,,
"tensor(2.2816, grad_fn=<AddBackward0>)",2023-04-14 09:31:47.091218,,,
"tensor(2.8571, grad_fn=<AddBackward0>)",2023-04-14 09:31:48.105890,,,
"tensor(2.8164, grad_fn=<AddBackward0>)",2023-04-14 09:31:49.209959,,,
"tensor(3.8029, grad_fn=<AddBackward0>)",2023-04-14 09:31:50.121441,,,
"tensor(3.2953, grad_fn=<AddBackward0>)",2023-04-14 09:31:51.148288,,,
"tensor(2.9289, grad_fn=<AddBackward0>)",2023-04-14 09:31:52.199568,,,
"tensor(2.2583, grad_fn=<AddBackward0>)",2023-04-14 09:31:53.071590,,,
"tensor(2.4260, grad_fn=<AddBackward0>)",2023-04-14 09:31:53.996573,,,
"tensor(2.2518, grad_fn=<AddBackward0>)",2023-04-14 09:31:55.026240,,,
"tensor(2.5048, grad_fn=<AddBackward0>)",2023-04-14 09:31:56.022208,,,
"tensor(2.6204, grad_fn=<AddBackward0>)",2023-04-14 09:31:56.984898,,,
"tensor(3.4322, grad_fn=<AddBackward0>)",2023-04-14 09:31:57.948279,,,
,2023-04-14 09:31:59.491514,2.8326570987701416,1e-05,1.0
"tensor(2.6489, grad_fn=<AddBackward0>)",2023-04-14 09:31:59.707044,,,
"tensor(2.6453, grad_fn=<AddBackward0>)",2023-04-14 09:32:00.669597,,,
"tensor(2.6544, grad_fn=<AddBackward0>)",2023-04-14 09:32:01.802394,,,
"tensor(2.8504, grad_fn=<AddBackward0>)",2023-04-14 09:32:02.735943,,,
"tensor(2.7408, grad_fn=<AddBackward0>)",2023-04-14 09:32:03.607194,,,
"tensor(3.4676, grad_fn=<AddBackward0>)",2023-04-14 09:32:04.669847,,,
"tensor(2.4156, grad_fn=<AddBackward0>)",2023-04-14 09:32:05.565734,,,
"tensor(2.3164, grad_fn=<AddBackward0>)",2023-04-14 09:32:06.636445,,,
"tensor(2.3070, grad_fn=<AddBackward0>)",2023-04-14 09:32:07.546970,,,
"tensor(2.9837, grad_fn=<AddBackward0>)",2023-04-14 09:32:08.445686,,,
"tensor(3.5343, grad_fn=<AddBackward0>)",2023-04-14 09:32:09.489057,,,
"tensor(3.3086, grad_fn=<AddBackward0>)",2023-04-14 09:32:10.479011,,,
"tensor(2.9518, grad_fn=<AddBackward0>)",2023-04-14 09:32:11.539997,,,
,2023-04-14 09:32:12.727746,2.8326570987701416,1.5e-05,2.0
"tensor(3.0050, grad_fn=<AddBackward0>)",2023-04-14 09:32:12.965632,,,
"tensor(2.7331, grad_fn=<AddBackward0>)",2023-04-14 09:32:13.950628,,,
"tensor(2.4156, grad_fn=<AddBackward0>)",2023-04-14 09:32:15.016951,,,
"tensor(2.7886, grad_fn=<AddBackward0>)",2023-04-14 09:32:15.954925,,,
"tensor(2.4832, grad_fn=<AddBackward0>)",2023-04-14 09:32:16.841071,,,
"tensor(2.1216, grad_fn=<AddBackward0>)",2023-04-14 09:32:17.698825,,,
"tensor(2.9231, grad_fn=<AddBackward0>)",2023-04-14 09:32:18.649304,,,
"tensor(3.8633, grad_fn=<AddBackward0>)",2023-04-14 09:32:19.777415,,,
"tensor(3.1105, grad_fn=<AddBackward0>)",2023-04-14 09:32:20.865199,,,
"tensor(2.7398, grad_fn=<AddBackward0>)",2023-04-14 09:32:21.893437,,,
"tensor(3.2961, grad_fn=<AddBackward0>)",2023-04-14 09:32:22.928038,,,
"tensor(2.7650, grad_fn=<AddBackward0>)",2023-04-14 09:32:23.976258,,,
"tensor(2.5798, grad_fn=<AddBackward0>)",2023-04-14 09:32:24.888232,,,
,2023-04-14 09:32:26.368310,2.8326573371887207,2e-05,3.0
"tensor(2.8747, grad_fn=<AddBackward0>)",2023-04-14 09:32:26.598510,,,
"tensor(3.3155, grad_fn=<AddBackward0>)",2023-04-14 09:32:27.487283,,,
"tensor(2.6762, grad_fn=<AddBackward0>)",2023-04-14 09:32:28.452569,,,
"tensor(3.0525, grad_fn=<AddBackward0>)",2023-04-14 09:32:29.522711,,,
"tensor(2.0049, grad_fn=<AddBackward0>)",2023-04-14 09:32:30.510522,,,
"tensor(3.3890, grad_fn=<AddBackward0>)",2023-04-14 09:32:31.439187,,,
"tensor(3.1618, grad_fn=<AddBackward0>)",2023-04-14 09:32:32.510148,,,
"tensor(3.4183, grad_fn=<AddBackward0>)",2023-04-14 09:32:33.578584,,,
"tensor(2.6478, grad_fn=<AddBackward0>)",2023-04-14 09:32:34.508369,,,
"tensor(2.5569, grad_fn=<AddBackward0>)",2023-04-14 09:32:35.490613,,,
"tensor(3.0994, grad_fn=<AddBackward0>)",2023-04-14 09:32:36.369536,,,
"tensor(2.1599, grad_fn=<AddBackward0>)",2023-04-14 09:32:37.428394,,,
"tensor(2.4677, grad_fn=<AddBackward0>)",2023-04-14 09:32:38.451070,,,
,2023-04-14 09:32:39.922032,2.8326570987701416,2.5e-05,4.0
"tensor(2.3160, grad_fn=<AddBackward0>)",2023-04-14 09:32:40.164619,,,
"tensor(2.2617, grad_fn=<AddBackward0>)",2023-04-14 09:32:41.245815,,,
"tensor(3.3307, grad_fn=<AddBackward0>)",2023-04-14 09:32:42.264245,,,
"tensor(3.3086, grad_fn=<AddBackward0>)",2023-04-14 09:32:43.331825,,,
"tensor(3.2961, grad_fn=<AddBackward0>)",2023-04-14 09:32:44.364844,,,
"tensor(2.3758, grad_fn=<AddBackward0>)",2023-04-14 09:32:45.271855,,,
"tensor(3.1108, grad_fn=<AddBackward0>)",2023-04-14 09:32:46.143912,,,
"tensor(2.9601, grad_fn=<AddBackward0>)",2023-04-14 09:32:47.049539,,,
"tensor(3.0722, grad_fn=<AddBackward0>)",2023-04-14 09:32:47.984811,,,
"tensor(3.4673, grad_fn=<AddBackward0>)",2023-04-14 09:32:49.009013,,,
"tensor(2.6474, grad_fn=<AddBackward0>)",2023-04-14 09:32:49.918431,,,
"tensor(2.2517, grad_fn=<AddBackward0>)",2023-04-14 09:32:50.856483,,,
"tensor(2.4261, grad_fn=<AddBackward0>)",2023-04-14 09:32:51.778477,,,
,2023-04-14 09:32:52.954667,2.8326573371887207,3e-05,5.0
"tensor(2.4122, grad_fn=<AddBackward0>)",2023-04-14 09:32:53.206156,,,
"tensor(1.9339, grad_fn=<AddBackward0>)",2023-04-14 09:32:54.167307,,,
"tensor(3.6334, grad_fn=<AddBackward0>)",2023-04-14 09:32:55.073929,,,
"tensor(3.6865, grad_fn=<AddBackward0>)",2023-04-14 09:32:56.023722,,,
"tensor(3.6045, grad_fn=<AddBackward0>)",2023-04-14 09:32:57.013753,,,
"tensor(2.6315, grad_fn=<AddBackward0>)",2023-04-14 09:32:57.979468,,,
"tensor(2.2754, grad_fn=<AddBackward0>)",2023-04-14 09:32:59.017390,,,
"tensor(2.3580, grad_fn=<AddBackward0>)",2023-04-14 09:33:00.087599,,,
